f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,objectId,codigo_mun,EXCEL_ID,GlobalID
25317,Guachetá,3.36134453781513,1.91972076788831,4.30622009569378,10.8433734939759,2.66370699223085,3.35365853658537,1.6304347826087,0.126262626262626,0.855920114122682,2.45098039215686,0.596302921884317,0.797448165869218,1.67539267015707,55,25317,2814d4fd-9501-4440-a86b-d943b95c5872,e14bdce3-7cdb-44ac-a47c-e10eb62d4774
25320,Guaduas,2.79329608938547,1.61145926589078,4.20353982300885,3.90625,2.40274599542334,2.50533049040512,2.54777070063694,0.844772967265047,3.57426528991263,0.27027027027027,2.41218789674143,2.12221002561288,2.27815144282925,56,25320,3c028175-cae0-47d5-a338-072a3a09ea77,f88daf76-666d-411d-baa5-8540e1e85aed
25322,Guasca,2.85714285714286,4.04040404040404,17.8640776699029,5.58659217877095,10.3139013452915,9.65996908809892,0,0.213447171824973,0.837320574162679,2.69461077844311,0.457549567869853,0.782268578878748,3.97774687065369,57,25322,6e28d526-4d1b-4663-82c1-131fa5608fa8,51ebb8c8-5574-49ae-bd34-bea3d5a18a54
25324,Guataquí,0,0,0,0,0,0,0,0,0,0,0,0,0,58,25324,24938a4a-db4a-445e-b78d-136c9567aefa,452a8002-a443-4ee7-a712-5eb975dc7763
25326,Guatavita,0,0,0.680272108843537,0,0.174520069808028,0.159744408945687,0,0,0.442477876106195,1,0.255102040816327,0.40650406504065,0.268336314847943,59,25326,4a18b6a8-2247-459e-b4b9-7a3282fbdf29,3002c3b8-ff60-4e18-b885-58f265ee698f
25328,Guayabal de Siquima,12.1212121212121,2.06896551724138,7,0,5.03597122302158,4.79452054794521,0,1.05820105820106,3.04568527918782,0,1.91387559808612,1.58730158730159,2.76381909547739,60,25328,e99fda4f-e967-4f3f-acb6-d90520b03fa8,3493e06d-b5cf-43a1-8985-f46c51a179b1
25335,Guayabetal,0,1.45985401459854,2.1505376344086,0,1.35593220338983,1.35593220338983,4,2.22222222222222,5.09259259259259,7.83132530120482,4.1018387553041,4.81099656357388,3.41763499658237,61,25335,5325cd4b-3cb6-477d-af20-64846bce8c0f,95752820-6514-4444-b74f-871e84e4df42
25339,Gutiérrez,8.33333333333333,1.34529147982063,20,0,4.1522491349481,4.1522491349481,0,0,1.78571428571429,0,1.19047619047619,0.992555831265509,2.3121387283237,62,25339,b199c101-c8c6-4fc6-be53-10c3b69c9d34,8d537c53-73f2-4710-8094-0d04628e3b6d
25368,Jerusalén,0,0.87719298245614,0,0,0.662251655629139,0.662251655629139,0,0.854700854700855,2.14285714285714,0,1.45985401459854,1.15942028985507,1.00806451612903,63,25368,e0b80169-3413-47cd-b557-bf5ba0b0b1ba,eec72ad9-23d3-4738-b24b-ce89d128d5fa
25372,Junín,3.92156862745098,0.308641975308642,0,2.7027027027027,0.573613766730402,0.837520938023451,0,0,0.694444444444444,0,0.416666666666667,0.343053173241852,0.593220338983051,64,25372,6561f10c-0262-4041-a960-c1ed951e2cdb,d0c2414a-2e7c-4317-859f-1c2bf297051b
25377,La Calera,2.24215246636771,1.23711340206186,1.90114068441065,1.85185185185185,1.57068062827225,1.58730158730159,0,0.892857142857143,2.84191829484902,1.38888888888889,1.70178282009724,1.64257555847569,1.61242161839355,65,25377,026444ad-70bb-4d82-90fa-6ec7ab959115,d92dde4c-138f-44ae-ba22-e76bdc100286
25386,La Mesa,2.29885057471264,2.52918287937743,5.44629349470499,2.89017341040462,3.5426731078905,3.48722986247544,1.12359550561798,1.91387559808612,1.6597510373444,3.36391437308868,1.73754000914495,1.94908512330947,2.63736263736264,66,25386,877482a3-8d57-4372-8d2e-16592395e391,519e48af-18e3-437f-8b64-252ca6376837
25394,La Palma,0,0,0.492610837438424,0,0.162337662337662,0.14367816091954,1.61290322580645,0.611620795107034,0.431034482758621,0,0.586166471277843,0.474833808167141,0.343053173241852,67,25394,6dc2d6e3-48a9-4867-9245-2ace5e702558,e67ef5c4-a01b-4ed4-b2ca-38c7666ed0ff
25398,La Peña,3.92156862745098,0.576368876080692,0.833333333333333,0,0.965250965250965,0.909090909090909,0,0,0,0,0,0,0.483558994197292,68,25398,d12fd6c6-88ea-4c1b-93b3-8f4de10db645,38d063ff-4341-41fa-bba3-9318d5dbb632
25402,La Vega,3.37837837837838,0.830564784053156,0.840336134453782,0,1.21457489878543,1.13636363636364,4.03225806451613,1.70542635658915,4.81220657276995,1.53846153846154,3.51634793337446,3.13276976628543,2.44538637104663,69,25402,4d74abbe-940d-49c9-a452-0a40f84b4d25,dbe1cd18-57a8-44b8-bd96-ce2a5b4687dc
25407,Lenguazaque,2.75862068965517,1.52143845089903,1.85873605947955,1.57894736842105,1.77809388335704,1.75438596491228,0,0.754716981132076,0,0,0.602409638554217,0.602409638554217,1.55601659751037,70,25407,7be77c21-80b7-4fad-b7ed-18e52a650f2b,dec81b70-3796-4c12-967b-7d2e4bc2cd36
25426,Macheta,0,1.06007067137809,4.8780487804878,0,1.34770889487871,1.29198966408269,3.84615384615385,0.819672131147541,1.28205128205128,0,1.21212121212121,0.998751560549313,1.09427609427609,71,25426,c460e0bc-ca77-4f1f-bb22-a14d2211d684,a52e222a-773e-438f-9abc-8fb4810272f8
25430,Madrid,0.819672131147541,0.15552099533437,0.301204819277108,1.03092783505155,0.273473108477666,0.33500837520938,2.05580029368576,1.65116279069767,2.89894337577892,1.40562248995984,2.2140221402214,2.13074058750517,1.93334560854355,72,25430,57bae98b-5c80-45b9-938f-b48fb3c85bcf,4b34e13d-0185-4f20-a8a5-335031bf3375
25436,Manta,2.63157894736842,0.775193798449612,0,0,1.00502512562814,1.00502512562814,3.57142857142857,2.56410256410256,0.45662100456621,0,1.37362637362637,1.05708245243129,1.04166666666667,73,25436,f1f0af3b-9fae-4652-bac7-7909ab2b393c,88999801-c985-46dc-a868-364b8e5cc237
25438,Medina,4.93827160493827,0.829875518672199,6.18556701030928,0,2.64200792602378,2.64200792602378,3.73831775700935,1.35135135135135,2.40641711229947,1.84049079754601,2.002002002002,1.97934595524957,2.24075039082856,74,25438,78e880e3-ad9b-4b05-a731-0fa2cb416b4b,9e9ed593-49e3-4476-918e-4bc21e0ec01d
25473,Mosquera,0.442477876106195,0.241545893719807,1.05263157894737,0.24330900243309,0.62780269058296,0.524246395806029,2.86343612334802,1.3953488372093,2.8863868986694,2.10144927536232,2.12477778718361,2.12233760327446,1.95665466403968,75,25473,ce24acef-091a-40a5-b5fb-702c31eb9ba6,cfeedac6-879f-452b-b80a-d283fe3091e2
25483,Nariño,0,0,0,0,0,0,0,1.96078431372549,0.641025641025641,0,1.19402985074627,0.99009900990099,0.898876404494382,76,25483,87d47ba0-7587-492d-934a-952ddab4f970,4f0c38e2-79bb-4a73-8349-02ebb6edf7c7
25486,Nemocón,8.45070422535211,3.43213728549142,3.125,2.5974025974026,4.07149950347567,3.96678966789668,1.23456790123457,0.680272108843537,0.687285223367698,1.30434782608696,0.72463768115942,0.824587706146927,2.23325062034739,77,25486,5e541bef-e95c-474b-af27-8287e59379ed,2ecf27fb-ff8a-4d95-870c-d2c8775e08fe
